 v-sweep         v(vin)          v(vout)        
 4.60000000e-01  4.60000000e-01  1.35605350e+00 
 4.61000000e-01  4.61000000e-01  1.35449023e+00 
 4.62000000e-01  4.62000000e-01  1.35291007e+00 
 4.63000000e-01  4.63000000e-01  1.35131273e+00 
 4.64000000e-01  4.64000000e-01  1.34969792e+00 
 4.65000000e-01  4.65000000e-01  1.34806533e+00 
 4.66000000e-01  4.66000000e-01  1.34641466e+00 
 4.67000000e-01  4.67000000e-01  1.34474559e+00 
 4.68000000e-01  4.68000000e-01  1.34305778e+00 
 4.69000000e-01  4.69000000e-01  1.34135089e+00 
 4.70000000e-01  4.70000000e-01  1.33962457e+00 
 4.71000000e-01  4.71000000e-01  1.33787845e+00 
 4.72000000e-01  4.72000000e-01  1.33611214e+00 
 4.73000000e-01  4.73000000e-01  1.33432526e+00 
 4.74000000e-01  4.74000000e-01  1.33251740e+00 
 4.75000000e-01  4.75000000e-01  1.33068813e+00 
 4.76000000e-01  4.76000000e-01  1.32883702e+00 
